taxon_code	taxon_level	taxon_name	relation	match_type	score	ontology_id	ontology_name
POLAR.01.06.003	4	Halide–Lewis-acid adduct formation	skos:broadMatch	token-superset	0.8	MOP:0000739	Lewis adduct formation
POLAR.01.06.009	4	Phosphine–borane adduct formation	skos:broadMatch	curated	1.0	MOP:0000739	Lewis adduct formation
POLAR.02	2	Substitution	skos:exactMatch	token	0.97	MOP:0000790	substitution reaction
POLAR.02.01.002	4	Williamson ether synthesis	skos:exactMatch	exact	1.0	RXNO:0000090	Williamson ether synthesis
POLAR.02.01.003	4	Finkelstein reaction	skos:exactMatch	exact	1.0	RXNO:0000155	Finkelstein reaction
POLAR.02.01.004	4	Gabriel synthesis	skos:exactMatch	exact	1.0	RXNO:0000103	Gabriel synthesis
POLAR.02.01.020	4	Mitsunobu reaction	skos:exactMatch	curated	1.0	RXNO:0000034	Mitsunobu reaction
POLAR.02.04.012	4	C-Azo coupling of enolates	skos:broadMatch	token-superset	0.8	RXNO:0000096	azo coupling
POLAR.02.05	3	Electrophilic aromatic and heteroaromatic substitution	skos:broadMatch	token-superset	0.8	MOP:0000791	aromatic substitution
POLAR.02.05.006	4	Friedel–Crafts alkylation	skos:exactMatch	exact	1.0	RXNO:0000046	Friedel-Crafts alkylation
POLAR.02.05.007	4	Friedel–Crafts acylation	skos:exactMatch	exact	1.0	RXNO:0000045	Friedel-Crafts acylation
POLAR.02.05.008	4	Vilsmeier–Haack formylation	skos:exactMatch	exact	1.0	RXNO:0000055	Vilsmeier-Haack reaction
POLAR.02.05.010	4	Reimer–Tiemann reaction	skos:exactMatch	exact	1.0	RXNO:0000072	Reimer-Tiemann reaction
POLAR.02.05.011	4	Duff formylation	skos:exactMatch	curated	1.0	RXNO:0000447	Duff reaction
POLAR.02.05.012	4	Kolbe–Schmitt carboxylation	skos:broadMatch	token-superset	0.8	RXNO:0000182	Kolbe-Schmitt reaction
POLAR.02.05.015	4	Pechmann-type aromatic substitution	skos:broadMatch	token-superset	0.8	MOP:0000791	aromatic substitution
POLAR.02.05.016	4	Azo coupling	skos:exactMatch	exact	1.0	RXNO:0000096	azo coupling
POLAR.02.07.002	4	Balz–Schiemann fluorination	skos:broadMatch	token-superset	0.8	RXNO:0000127	Balz-Schiemann reaction
POLAR.02.08.004	4	Tsuji–Trost allylic substitution	skos:broadMatch	token-superset	0.8	RXNO:0000311	Tsuji-Trost reaction
POLAR.02.08.010	4	Allylic rearrangement substitution	skos:broadMatch	token-superset	0.8	MOP:0000792	allylic rearrangement
POLAR.02.09.027	4	Atherton–Todd rearrangement	skos:broadMatch	token-superset	0.8	RXNO:0000690	Atherton-Todd reaction
POLAR.03	2	Addition	skos:exactMatch	token	0.97	MOP:0000642	addition reaction
POLAR.03.01.005	4	Barbier reaction	skos:exactMatch	exact	1.0	RXNO:0000084	Barbier reaction
POLAR.03.01.006	4	Reformatsky reaction	skos:exactMatch	exact	1.0	RXNO:0000036	Reformatsky reaction
POLAR.03.02.003	4	Aza-Henry reaction	skos:exactMatch	exact	1.0	RXNO:0000235	aza-Henry reaction
POLAR.03.02.005	4	Mannich-type C–C addition to imines or iminium ions	dcterms:isPartOf	curated	1.0	RXNO:0000032	Mannich reaction
POLAR.03.02.011	4	Reductive-amination iminium capture step	dcterms:isPartOf	curated	1.0	RXNO:0000335	reductive amination
POLAR.03.03.001	4	Aldol addition	skos:exactMatch	exact	1.0	RXNO:0000016	aldol addition
POLAR.03.03.002	4	Mukaiyama aldol addition	skos:exactMatch	exact	1.0	RXNO:0000061	Mukaiyama aldol condensation
POLAR.03.03.003	4	Evans aldol addition	skos:broadMatch	token-superset	0.8	RXNO:0000016	aldol addition
POLAR.03.03.004	4	Boron aldol addition	skos:broadMatch	token-superset	0.8	RXNO:0000016	aldol addition
POLAR.03.03.005	4	Zimmerman–Traxler aldol addition	skos:broadMatch	token-superset	0.8	RXNO:0000016	aldol addition
POLAR.03.03.006	4	Mukaiyama–Mannich addition	skos:broadMatch	curated	1.0	RXNO:0000032	Mannich reaction
POLAR.03.03.007	4	Vinylogous aldol addition	skos:broadMatch	token-superset	0.8	RXNO:0000016	aldol addition
POLAR.03.03.008	4	Direct organocatalytic aldol addition	skos:broadMatch	token-superset	0.8	RXNO:0000016	aldol addition
POLAR.03.03.009	4	Asymmetric proline aldol addition	skos:broadMatch	token-superset	0.8	RXNO:0000016	aldol addition
POLAR.03.03.011	4	Crossed aldol addition	skos:broadMatch	token-superset	0.8	RXNO:0000016	aldol addition
